2026-06-30 16:48:42 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1231] - Exchange client opened | exchange=mexc
2026-06-30 16:48:42 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1231] - Exchange client opened | exchange=bitget
2026-06-30 16:48:43 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1231] - Exchange client opened | exchange=gate
2026-06-30 16:48:43 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1231] - Exchange client opened | exchange=bingx
2026-06-30 16:48:46 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:1248] - Markets loaded | exchange=bitget count=1928
2026-06-30 16:48:47 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:1248] - Markets loaded | exchange=bingx count=3032
2026-06-30 16:48:49 | INFO     | [arbitrator.exchanges.ccxt_base:probe_connection:429] - Connection verified | exchange=bitget trading=True usdt=21.2534916
2026-06-30 16:48:49 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1066] - Exchange closed | exchange=bitget
2026-06-30 16:48:49 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1066] - Exchange closed | exchange=bitget
2026-06-30 16:48:50 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:1248] - Markets loaded | exchange=mexc count=3151
2026-06-30 16:48:54 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:1248] - Markets loaded | exchange=gate count=6253
2026-06-30 16:48:54 | INFO     | [arbitrator.exchanges.ccxt_base:probe_connection:429] - Connection verified | exchange=gate trading=True usdt=38.01584728
2026-06-30 16:48:55 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1066] - Exchange closed | exchange=gate
2026-06-30 16:48:55 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1066] - Exchange closed | exchange=gate
2026-06-30 16:49:47 | WARNING  | [arbitrator.exchanges.ccxt_base:_first_usdt_balance:156] - watch_balance timeout, falling back | exchange=bingx
2026-06-30 16:49:48 | INFO     | [arbitrator.exchanges.ccxt_base:probe_connection:429] - Connection verified | exchange=bingx trading=True usdt=31.89
2026-06-30 16:49:49 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1066] - Exchange closed | exchange=bingx
2026-06-30 16:49:49 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1066] - Exchange closed | exchange=bingx
2026-06-30 16:49:50 | WARNING  | [arbitrator.exchanges.ccxt_base:_first_usdt_balance:156] - watch_balance timeout, falling back | exchange=mexc
2026-06-30 16:49:56 | INFO     | [arbitrator.exchanges.ccxt_base:probe_connection:429] - Connection verified | exchange=mexc trading=True usdt=62.71260655966
2026-06-30 16:49:56 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1066] - Exchange closed | exchange=mexc
2026-06-30 16:49:56 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1066] - Exchange closed | exchange=mexc
